board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender,id
Weston Backwoods,https://thegoodride.com/snowboard-reviews/weston-backwoods-2020-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback -10mm,Feels Normal,Great,Great,Great,Great,Good,Average,Good,Poor,Good,['2020'],mens,b'9UnnGPLv24lVgPK8BtDpTHvntsc='
Weston Logger,https://thegoodride.com/snowboard-reviews/weston-logger-2020-snowboard-review,None,Freestyle,Beginner - Expert,"8-10, 10-12",China,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Average,Average,Average,Average,Great,Good,Great,Good,['2020'],mens,b'AODzaWIxNnNzm08nkBX8WkY1aSQ='
Weston Range,https://thegoodride.com/snowboard-reviews/weston-range-2020-snowboard-review,None,All Mountain,Advanced - Expert,"8-10, 10-12, > 12",China,Directional Twin,Hybrid Camber,Setback -20mm,Feels Normal,Good,Great,Great,Great,Good,Great,Great,Average,Good,['2020'],mens,b'hkyr6Px/mhAMELBQNS/Vn/D6q7c='
YES 2020,https://thegoodride.com/snowboard-reviews/yes-2020-2016-2019-snowboard-review,Liked it!,Powder,Advanced - Expert,"8-10, 10-12",Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Normal,Great,Average,Good,Good,Good,Great,Good,Average,Average,"['2020', '2016', '2019']",mens,b'g7QUc9azHeq2J3A0UuYH9T4W28c='
YES 420,https://thegoodride.com/snowboard-reviews/yes-420-2013-2021-snowboard-review,Pretty Good,Powder,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -15mm,Feels Normal,Excellent,Good,Good,Good,Good,Average,Average,Average,Poor,"['2013', '2021']",mens,b'ZoxKDYg0Yqfxb47hHyF4NDchY1Y='
Yes 420 Powder Hull,https://thegoodride.com/snowboard-reviews/yes-420-powder-hull-2017-2020-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -15mm,Feels Normal,Great,Good,Good,Good,Average,Average,Good,Poor,Average,"['2017', '2020']",mens,b'RrTN3ZSYnRs8wLwzWlZ1sfUXoMs='
YES Basic,https://thegoodride.com/snowboard-reviews/yes-basic-2010-2020-snowboard-review,None,Freestyle,Beginner - Expert,"< 8, 8-10, 10-12",SWS in Dubai,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Good,Great,Great,Good,Good,Great,"['2010', '2020']",mens,b'rl9S6Elf3Lyktw7nSD7ys7K6nyY='
YES Basic Decade,https://thegoodride.com/snowboard-reviews/yes-basic-decade-2019-snowboard-review,Loved it!,All Mountain,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Light,Good,Good,Good,Good,Average,Great,Great,Average,Great,['2019'],mens,b'ncHVrlZWiMJSRKmPEigmmR/YAfc='
YES Ghost,https://thegoodride.com/snowboard-reviews/yes-ghost-2011-2020-snowboard-review,None,All Mountain,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Great,Great,Great,Good,Great,Great,Average,Great,"['2011', '2020']",mens,b'E4tUzRt/rudKtSRbjLEdtyzuZ+k='
Yes Globe NSB,https://thegoodride.com/snowboard-reviews/yes-globe-nsb-2020-snowboard-review,None,All Mountain,Intermediate - Expert,8-10,Dubai by SWS,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Good,Good,Great,Great,Great,Great,Average,Great,['2020'],mens,b'CfK/Qd0HgeFTWTv7myngp6PknbE='
YES Greats,https://thegoodride.com/snowboard-reviews/yes-greats-2011-2020-snowboard-review,Loved it!,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",Dubai by SWS,Asymmetrical Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Good,Great,Excellent,Great,Good,Great,"['2011', '2020']",mens,b'/HAU8qfWgDTUxpsDw0tHbL4eoW4='
YES Hybrid,https://thegoodride.com/snowboard-reviews/yes-hybrid-2020-2021-snowboard-review,None,Alternative Freeride,Intermediate - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Average,Good,Average,Average,"['2020', '2021']",mens,b'sOv8I0rdjbPnU7xUKTdrEjF6P+s='
YES Jackpot,https://thegoodride.com/snowboard-reviews/yes-jackpot-2012-2020-snowboard-review,None,Freestyle,Beginner - Expert,8-10,Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Average,Great,Great,Good,Great,Great,"['2012', '2020']",mens,b'tR2hGUScuddcUqCseJPrT4monbo='
Yes Libre,https://thegoodride.com/snowboard-reviews/yes-libre-2018-2020-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",Dubai by SWS,Directional Twin,Hybrid Camber,Setback -5mm,Feels Normal,Average,Good,Good,Good,Great,Great,Great,Good,Good,"['2018', '2020']",mens,b'Obt6mh96U+x3H997peg17RIc/5s='
YES Optimistic,https://thegoodride.com/snowboard-reviews/yes-optimistic-2011-2020-snowboard-review,Loved it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Centered,Feels Normal,Great,Excellent,Excellent,Good,Average,Average,Good,Poor,Average,"['2011', '2020']",mens,b'jwgNKKwU0qTGLPNuW3c+Z4h6PwU='
YES Pick Your Line,https://thegoodride.com/snowboard-reviews/yes-pick-your-line-2012-2020-snowboard-review,Loved it!,Freeride,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -10mm,Feels Normal,Great,Good,Good,Great,Great,Average,Good,Poor,Good,"['2012', '2020']",mens,b'YjIt28ENY2jhLrBKR0wyNrEVwLo='
YES PRO20,https://thegoodride.com/snowboard-reviews/yes-pro20-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -15mm,Feels Normal,Excellent,Great,Great,Great,Good,Average,Good,Poor,Poor,['2021'],mens,b'lyjkzKBWPzM50bOqoEmGxk79VwM='
YES Standard,https://thegoodride.com/snowboard-reviews/yes-standard-2015-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"8-10, 10-12, > 12",Dubai by SWS,Directional Twin,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Great,Great,Good,Good,Good,"['2015', '2020']",mens,b'zC2+tj0Wr2wq2ALKEAMQ4xCv8UM='
Yes The Y,https://thegoodride.com/snowboard-reviews/yes-the-y-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Hybrid Camber,Centered,Feels Normal,Great,Great,Great,Great,Average,Poor,Average,Poor,Average,['2020'],mens,b'iOpe05dpp9n349dC50gz35GlRQk='
YES Typo,https://thegoodride.com/snowboard-reviews/yes-typo-2016-2020-snowboard-review,None,All Mountain,Beginner - Expert,"8-10, 10-12",Dubai by SWS,Directional Twin,Hybrid Camber,Setback -5mm,Feels Normal,Average,Good,Good,Good,Great,Great,Great,Good,Great,"['2016', '2020']",mens,b'YUH4AtV8qbYAF7otBh5lzjQ1i/I='
Alloy Pandora,https://thegoodride.com/snowboard-reviews/alloy-pandora-women's-2019-snowboard-review,None,All Mountain Freestyle,Expert,Women's,Tunisia by Nidecker,Directional Twin,Traditional Camber,Centered,Feels Normal,Poor,Great,Excellent,Great,Good,Great,Excellent,Average,Excellent,['2019'],womens,b'ug57aie0O3p+nDU4+tK8jaF3v/Y='
Arbor Ethos,https://thegoodride.com/snowboard-reviews/arbor-ethos-2021-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Intermediate,"Women's, < 8, 8-10",Dubai by SWS,Directional Twin,Continuous Rocker,Setback -5mm,Feels Normal,Good,Good,Poor,Average,Good,Great,Good,Great,Average,['2021'],womens,b'qD9B3xxTvWoz9qQVaRzBjclTc6Y='
Arbor Poparazzi Camber,https://thegoodride.com/snowboard-reviews/arbor-poparazzi-camber-2021-snowboard-review,Liked it!,All Mountain,Intermediate - Advanced,"Women's, < 8, 8-10",Dubai by SWS,Directional Twin,Traditional Camber,Centered,Feels Normal,Average,Great,Good,Good,Great,Excellent,Great,Good,Great,['2021'],womens,b'W1OFJ/DT9c2FFeNfr+jvX8CB0Hw='
Arbor Swoon,https://thegoodride.com/snowboard-reviews/arbor-swoon-2011-2018-snowboard-review,Pretty Good,All Mountain Freestyle,Beginner - Expert,Women's,Dubai by SWS,Directional Twin,Continuous Rocker,Centered,Feels Normal,Average,Average,Average,Average,Excellent,Great,Excellent,Good,Good,"['2011', '2018']",womens,b'BXW8zwQDiv+zfWDSTWaeCy5+4H8='
Arbor Swoon Camber,https://thegoodride.com/snowboard-reviews/arbor-swoon-camber-snowboard-review-and-buying-advice,Pretty Good,All Mountain Freestyle,Advanced - Expert,Women's,Dubai by SWS,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Good,Great,Great,Good,Great,Excellent,Good,Great,[],womens,b'd03qA2ltc6XyZexwLShXkTSrft0='
Arbor Veda,https://thegoodride.com/snowboard-reviews/arbor-veda-2021-snowboard-review,Liked it!,Freeride,Intermediate - Expert,"Women's, < 8, 8-10, 10-12",Dubai by SWS,Tapered Directional,Traditional Camber,Setback -20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Poor,Good,['2021'],womens,b'9ml40HeKiNBqyqpuPsXmsoXb46I='
Arbor Womens Clovis,https://thegoodride.com/snowboard-reviews/arbor-womens-clovis-2021-snowboard-review,Liked it!,Freeride,Intermediate - Expert,"Women's, < 8, 8-10, 10-12",Dubai by SWS,Tapered Directional,Mostly Camber,Centered,Feels Heavy,Good,Great,Good,Great,Great,Average,Good,Average,Good,['2021'],womens,b'avAre12G8EpIEtu34Nm+DN3rN5o='
Burton Day Trader,https://thegoodride.com/snowboard-reviews/burton-day-trader-2014-2019-snowboard-review,Pretty Good,Freeride,Intermediate - Expert,Women's,China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Great,Average,Average,Average,Average,"['2014', '2019']",womens,b'Ne/pbNhyLxrv6tMf3Kv6WbePB1I='
Burton Deja Vu,https://thegoodride.com/snowboard-reviews/burton-deja-vu-2012-2018-snowboard-review,Pretty Good,All Mountain,Beginner - Advanced,Women's,China,Directional Twin,Hybrid Rocker,Setback -12.5mm,Feels Normal,Good,Average,Average,Good,Great,Great,Great,Good,Average,"['2012', '2018']",womens,b'4Uoh9Um7Tl8Z2KQc+zRWeKjI+X4='
Burton Feelgood,https://thegoodride.com/snowboard-reviews/burton-feelgood-review-and-buying-advice,Liked it!,All Mountain,Intermediate - Expert,Women's,China,Twinish,Traditional Camber,Setback -12.5mm,Feels Normal,Poor,Great,Great,Great,Good,Good,Good,Average,Good,[],womens,b'T1IVlTISIIeH2eV5nCbbUewH2RE='
Burton  Rewind,https://thegoodride.com/snowboard-reviews/burton-rewind-2020-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,"Women's, < 8, 8-10",None,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Average,Great,Good,Great,Great,Good,Great,['2020'],womens,b'duEajCQFNupBKVIynAvxgB7gj9Q='
Burton Stick Shift,https://thegoodride.com/snowboard-reviews/burton-stick-shift-2019-snowboard-review,Liked it!,Powder,Advanced - Expert,Women's,Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Good,Poor,Average,Average,Average,['2019'],womens,b'/Tb8WZ5wAEnjNcbjqBWzbdsxFgA='
Burton Story Board,https://thegoodride.com/snowboard-reviews/burton-story-board-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,Women's,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Great,Great,Good,Average,Good,Poor,Good,['2019'],womens,b'2reCoeAwMYYPuisHeXm0WZEc9Aw='
Burton Womens Super Bueno,https://thegoodride.com/snowboard-reviews/burton-womens-super-bueno-2020-snowboard-review,Pretty Good,Freeride,Advanced - Expert,"Women's, 8-10, 10-12",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Average,Great,Poor,Good,['2020'],womens,b'yxxHUVjN8v7KAnvB5kH6oJLbW/s='
Capita Birds Of A Feather,https://thegoodride.com/snowboard-reviews/capita-birds-of-a-feather-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,Women's,Austria at The Mothership,True Twin,Hybrid Camber,Centered,Feels Light,Poor,Good,Average,Good,Good,Great,Great,Good,Good,"['2013', '2019']",womens,b'BrCZuACc4eyZHjJaRGOUZ1TjYv4='
Capita Jess Kimura Pro,https://thegoodride.com/snowboard-reviews/capita-jess-kimura-pro-2019-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,Women's,Austria at The Mothership,Directional Twin,Directional Camber,Centered,Feels Normal,Average,Good,Good,Good,Great,Good,Good,Average,Good,['2019'],womens,b'gx1FTIajoLxoZEUfdubcZGOsXMk='
Capita Paradise Falls,https://thegoodride.com/snowboard-reviews/capita-paradise-falls-2017-2019-snowboard-review,Loved it!,All Mountain Freestyle,Intermediate - Expert,Women's,Austria by The Mothership,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Good,Great,Great,Great,Good,Good,"['2017', '2019']",womens,b'T6wB4a5atClIjDnnU2HWaclt5iU='
Capita Space Metal Fantasy,https://thegoodride.com/snowboard-reviews/capita-space-metal-fantasy-2010-2019-snowboard-review,Loved it!,Jib / Street,Intermediate - Expert,Women's,Austria at The Mothership,True Twin,Flat to Rocker,Centered,Feels Normal,Poor,Average,Average,Average,Good,Great,Good,Great,Average,"['2010', '2019']",womens,b'fe1D67zhEzzx8QO1dJQTXFOCFKQ='
Decathlon Serenity 100,https://thegoodride.com/snowboard-reviews/decathlon-serenity-100-2020-review,Pretty Good,All Mountain,Beginner - Intermediate,"Women's, < 8, 8-10",None,Directional Twin,Traditional Camber,Setback -10mm,Feels Heavy,Average,Good,Great,Great,Good,Good,Good,Poor,Good,['2020'],womens,b'kjG4sBK2bXYTf+xp169VX9KmUj4='
Decathlon Serenity 500,https://thegoodride.com/snowboard-reviews/decathlon-serenity-500-2020-snowboard-review,Pretty Good,All Mountain,Intermediate - Advanced,"Women's, < 8, 8-10, 10-12",None,Directional,Directional Camber,Setback -15mm,Feels Heavy,Good,Good,Great,Great,Good,Average,Average,Poor,Average,['2020'],womens,b'5BBPNPKZtzqrsc+Gsz1fOwCZy50='
Decathlon Womens Bullwhip 700 Dreamscape,https://thegoodride.com/snowboard-reviews/decathlon-womens-bullwhip-700-dreamscape-2020-snowboard-review,Liked it!,Aggressive All Mountain,Advanced - Expert,"Women's, 8-10, 10-12",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Heavy,Great,Great,Great,Great,Good,Poor,Average,Poor,Average,['2020'],womens,b'rZtRtU19VjJbUlFR2pLc7WBiimA='
Decathlon Womens Endzone 500,https://thegoodride.com/snowboard-reviews/decathlon-womens-endzone-500-2020-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Advanced,"Women's, < 8, 8-10",None,True Twin,Flat to Rocker,Centered,Feels Heavy,Good,Good,Average,Good,Good,Great,Good,Good,Average,['2020'],womens,b'lv83xQ1GH+yEVFlbhmrQVleaskQ='
Elevated Surf Craft Minni Driver,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-minni-driver-2020-snowboard-review,Pretty Good,Alternative Freeride,Intermediate - Expert,"Women's, < 8, 8-10, 10-12, > 12",None,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Great,Great,Great,Poor,Good,['2020'],womens,b'asMhM4Q3gLislZS42gHk8iV3AYE='
Elevated Surf Craft Minni Fish,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-minni-fish-2020-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,"Women's, < 8, 8-10, 10-12, > 12",None,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Good,Good,Good,Poor,Average,Poor,Good,['2020'],womens,b'GBVfX5tZP8GEJiupudclCRYTDi4='
Endeavor Womens Alpha,https://thegoodride.com/snowboard-reviews/endeavor-womens-alpha-2020-snowboard-review,Liked it!,Aggressive All Mountain,Advanced - Expert,"Women's, 8-10, 10-12, > 12",None,Directional Twin,Traditional Camber,None,Feels Normal,Poor,Great,Excellent,Excellent,Poor,Good,Average,Poor,Average,['2020'],womens,b'1FWOk4SWmC/AEG7Ou3iLPiNEMis='
Endeavor Womens Archetype,https://thegoodride.com/snowboard-reviews/endeavor-womens-archetype-2020-snowboard-review,Loved it!,Alternative Freeride,Intermediate - Expert,"Women's, 8-10, 10-12, > 12",None,Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Poor,Good,['2020'],womens,b'fSfpXHPXAdpkdN78E4HL4W5Ghbk='
Endeavor Womens Clout,https://thegoodride.com/snowboard-reviews/endeavor-womens-clout-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Advanced,"Women's, 8-10, 10-12, > 12",None,Directional Twin,Traditional Camber,Centered,Feels Normal,Good,Great,Great,Great,Great,Great,Great,Average,Great,['2020'],womens,b'3f9dZji+KM/5PAUNBvkc33+dXTM='
Endeavor Womens Pioneer,https://thegoodride.com/snowboard-reviews/endeavor-womens-pioneer-2020-snowboard-review,Liked it!,Aggressive All Mountain Freestyle,Advanced - Expert,"Women's, 8-10, 10-12",None,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Great,Great,Great,Good,Great,Great,Good,Great,['2020'],womens,b'exlnA1evJb+llp923JFkgll/vxc='
Gentemstick Baby Mantaray,https://thegoodride.com/snowboard-reviews/gentemstick-baby-mantaray-2020-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,Women's,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Poor,Average,Poor,Average,['2020'],womens,b'YvSfS42ig/UpP3tGmNi5xcZN1iA='
Gentemstick  Mermaid,https://thegoodride.com/snowboard-reviews/gentemstick-mermaid-2020-snowboard-review,Loved it!,Alternative Freeride,Intermediate - Advanced,"Women's, 8-10",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Average,Average,Poor,Good,['2020'],womens,b'37XpE/YHARmgTkTY6/lTiWx7xvY='
Gentemstick Trinity,https://thegoodride.com/snowboard-reviews/gentemstick-trinity-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,Women's,None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Poor,Average,Poor,Poor,[],womens,b'pezWZf8Rct2yY6f5JShKX7yu2mo='
Gilson  Glacier,https://thegoodride.com/snowboard-reviews/gilson-glacier-2020-snowboard-review,Pretty Good,All Mountain,Intermediate - Advanced,"Women's, 8-10",None,True Twin,Traditional Camber,Centered,Feels Heavy,Great,Good,Great,Good,Good,Great,Good,Average,Good,['2020'],womens,b'EUOVcFAqA+myki7E+Vdu6oxvKRI='
Gilson Nirvana,https://thegoodride.com/snowboard-reviews/gilson-nirvana-2020-snowboard-review,Pretty Good,Freestyle,Intermediate - Advanced,"Women's, 8-10",None,True Twin,Flat to Rocker,Centered,Feels Heavy,Good,Good,Great,Good,Good,Great,Good,Good,Average,['2020'],womens,b'u4tTIQb3KpTb681a3zRUheq7ehQ='
Gnu B-Nice,https://thegoodride.com/snowboard-reviews/gnu-b-nice-2010-2019-snowboard-review,Liked it!,Freestyle,Beginner - Expert,Women's,USA by Mervin,Asymmetrical Twin,Continuous Rocker,Centered,Feels Heavy,Average,Good,Average,Average,Great,Excellent,Good,Good,Good,"['2010', '2019']",womens,b'6yO5/hihkD9SY+iTFei/tonBXuU='
Gnu B-Pro,https://thegoodride.com/snowboard-reviews/gnu-b-pro-2014-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,Women's,USA by Mervin,True Twin,Mostly Camber,Centered,Feels Heavy,Poor,Great,Great,Great,Average,Great,Great,Average,Great,"['2014', '2019']",womens,b'pTZEAOtDLjTCvvUQgkiqeF1N1nw='
Gnu Chromatic,https://thegoodride.com/snowboard-reviews/gnu-chromatic-2019-snowboard-review,Liked it!,All Mountain,Beginner - Advanced,Women's,USA By Mervin,Directional Twin,Continuous Rocker,Centered,Feels Normal,Good,Good,Average,Average,Good,Good,Average,Good,Good,['2019'],womens,b'w+uB3OS9exn3NLMBNdNzUW0LTtc='
Gnu Free Spirit,https://thegoodride.com/snowboard-reviews/gnu-free-spirit-2018-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"Women's, < 8",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Average,Average,Good,Poor,Average,"['2018', '2019']",womens,b'9OJOINGUHjX+cy2exSPL8wiAL5o='
Gnu Gloss,https://thegoodride.com/snowboard-reviews/gnu-gloss-2018-2019-snowboard-review,Liked it!,All Mountain,Beginner - Expert,Women's,USA by Mervin,Directional Twin,Hybrid Rocker,Centered,Feels Normal,Good,Good,Average,Good,Great,Great,Good,Good,Good,"['2018', '2019']",womens,b'WE8C4qwn4zNKjPT7chLmqUqIOBc='
Gnu Klassy,https://thegoodride.com/snowboard-reviews/gnu-klassy-2019-snowboard-review,Liked it!,Freeride,Beginner - Expert,"Women's, < 8",USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Good,Average,Good,Average,Good,['2019'],womens,b'nGnx9ujElaCrEvFF7hHMWwviwc4='
Gnu Ladies Choice,https://thegoodride.com/snowboard-reviews/gnu-ladies-choice-2013-2019-snowboard-review,Loved it!,Freestyle,Beginner - Expert,Women's,USA by Mervin,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Heavy,Average,Good,Good,Good,Great,Excellent,Excellent,Good,Great,"['2013', '2019']",womens,b'e7mYSULfoJY8x3C+N8c4piMvNT0='
Gnu Ladies Hyperkyarve,https://thegoodride.com/snowboard-reviews/gnu-ladies-hyperkyarve-2019-snowboard-review,Liked it!,Freeride,Beginner - Expert,Women's,USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Great,Good,Good,Average,Good,['2019'],womens,b'QRweWvsgTzZxseotCCtb0VxvNVw='
GNU Pro Choice,https://thegoodride.com/snowboard-reviews/gnu-pro-choice-2020-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,"Women's, 8-10",None,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Normal,Average,Great,Great,Great,Good,Excellent,Great,Good,Great,['2020'],womens,b'atr96jz0Lrvx+BmnB/H/nQPJ2rU='
Gnu Velvet,https://thegoodride.com/snowboard-reviews/gnu-velvet-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Advanced,Women's,USA by Mervin,Asymmetrical Twin,Hybrid Rocker,Centered,Feels Heavy,Average,Good,Average,Good,Good,Excellent,Good,Good,Good,"['2013', '2019']",womens,b'+Jey1KsE7CEYexGd4HxqKuqvKp8='
GNU Whip,https://thegoodride.com/snowboard-reviews/gnu-whip-2020-snowboard-review,Pretty Good,Aggressive All Mountain,Advanced - Expert,"Women's, 8-10",None,Tapered Directional,Hybrid Rocker,None,Feels Normal,Good,Great,Great,Great,Average,Average,Average,Poor,Good,['2020'],womens,b'eCbtWWIcA3t0eWZ+3uJcOyepvOY='
Jones Airheart,https://thegoodride.com/snowboard-reviews/jones-airheart-2018-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,Women's,Dubai by SWS,Twinish,Hybrid Camber,Setback -20mm,Feels Light,Good,Good,Good,Good,Average,Good,Great,Average,Good,"['2018', '2020']",womens,b'H0gAVbGmKSQIyb1qwpbKj/CDWEE='
Jones Dream Catcher,https://thegoodride.com/snowboard-reviews/jones-dream-catcher-women's-2020-snowboard-review,Loved it!,All Mountain,Beginner - Expert,"Women's, 8-10",Dubai by SWS,Directional Twin,Hybrid Camber,Setback -20mm,Feels Normal,Good,Great,Good,Great,Great,Great,Great,Great,Good,['2020'],womens,b'00357H9ad7GSPG7SX/V2IX4zS7g='
Jones Solution Splitboard,https://thegoodride.com/snowboard-reviews/jones-solution-splitboard-2020-snowboard-review,Liked it!,Freeride,Advanced - Expert,"Women's, 8-10",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Normal,Excellent,Great,Great,Great,Good,Poor,Poor,Poor,Poor,['2020'],womens,b'0PlghriOo1ODHn5vVQ9Vgiga9k8='
Jones Twin Sister,https://thegoodride.com/snowboard-reviews/jones-twin-sister-2013-2021-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"Women's, < 8, 8-10, 10-12",Dubai by SWS,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Good,Good,Good,Good,Great,Good,Average,Good,"['2013', '2021']",womens,b'5RKwwRd/xCk2D2sz0BnyiwNXF3M='
Jones Womens Flagship,https://thegoodride.com/snowboard-reviews/jones-womens-flagship-2013-2020-snowboard-review,Loved it!,Freeride,Advanced - Expert,Women's,Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Heavy,Great,Great,Good,Great,Average,Average,Average,Poor,Average,"['2013', '2020']",womens,b'qD47kkVTOlo1tOPL4kAwSpOutuY='
Jones Womens Hovercraft,https://thegoodride.com/snowboard-reviews/jones-womens-hovercraft-2016-2020-snowboard-review,Loved it!,Alternative Freeride,Advanced - Expert,Women's,Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Normal,Great,Great,Good,Great,Good,Poor,Average,Poor,Average,"['2016', '2020']",womens,b'Q2IVk9DUl27RF4/nrpsClXhJVVM='
Jones Womens Mind Expander,https://thegoodride.com/snowboard-reviews/jones-womens-mind-expander-2019-snowboard-review,Loved it!,Powder,Intermediate - Expert,Women's,Dubai by SWS,Tapered Directional,Flat to Rocker,Centered,Feels Normal,Excellent,Good,Average,Good,Great,Average,Good,Average,Average,['2019'],womens,b'0DZitH72iIfMp02ihrZIE9i5490='
K2 Cold Shoulder,https://thegoodride.com/snowboard-reviews/k2-cold-shoulder-2020-snowboard-review,Pretty Good,All Mountain,Intermediate - Expert,"Women's, 8-10",None,Tapered Directional,Mostly Camber,Setback -20mm,Feels Normal,Good,Good,Great,Great,Average,Average,Good,Poor,Good,['2020'],womens,b'5oCr16twegVwPezvI3MOfHV8NtA='
K2  First Lite,https://thegoodride.com/snowboard-reviews/k2-first-lite-2013-2019-snowboard-review,Pretty Good,All Mountain,Beginner - Intermediate,Women's,China,Directional Twin,Flat to Rocker,Setback -20mm,Feels Normal,Good,Average,Average,Average,Great,Good,Average,Good,Average,"['2013', '2019']",womens,b'/HA46XqDuesFkuA7Gi2t21L9u1s='
K2 Lime Lite,https://thegoodride.com/snowboard-reviews/k2-lime-lite-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,Women's,China,True Twin,Hybrid Camber,Centered,Feels Normal,Poor,Great,Good,Good,Good,Great,Great,Good,Great,"['2013', '2019']",womens,b'TGoLW8G6W+Em4DLHdloyGTcxZxo='
